Column1,Column12
まさかそんなゲームないよねぇ〜？？##DPSチェックカツカツにしてタンクもヒラも死ぬほど殴らないといけないMMOなんてこの世に存在しないよねぇ〜？？,1
タンクとヒーラーにDPSを求めるとかどんなゲームなんでしょう ,1
放置bot潔いくらいプログラムで自動生成した名前って感じなので ,1
飯が終わった後は信州林檎って決まっているんだ。俺が大嫌いな味でね。ダイエッターの栄光の時代の味だから食べてやっているだけなんだよ。## ##１週間で元に戻ったくせに！,1
「役に立ちたい」強迫観念を持ってる少女####腹黒モテモテマンor伴侶を見失った男##仲良し家族→娘が事故死→催眠を仕掛けられる　の内どれか#### ##女性二人はこれ以上脱げないと思ry,1
 ,0
アサーティブな会話テクニック「針のとんだレコード」_####サンディ「そうよね。わたし、生まれてからただの一度もお母さんに 」【批判の中の事実に同意する】,1
大学の勉強は高校までの のでだーーーいすこ,1
まぁ、 。休日にお疲れ様です。,0
みんなからの匿名質問を募集中！####こんな質問に答えてるよ##● +=400…##● 剛体って何ですか？##● θ=45°で初速度V0の時の鉛…##●  ,1
 ,0
ジムのスタッフの可愛いおじちゃんですら ,1
住宅需要を減らして経済悪化か、脱東京させたいのかわからんけど、 ####石原良純　東京都の太陽光パネル設置義務化の動きに「まったく意味がない」「あくまでもアドバルーン」,1
Mじゃなくて、Wとかにするのかな？笑#### ,1
今年のダボス会議は特にぶっとんでんな。 ,1
300万ももらえるのか。。。。 ,1
#国会中継####自分でやって自分で対策か__####派遣増やしてくれた自民と維新に ,1
この一方で、「 」とか言ってる人がいるし。##世の中は様々だな,1
雨の日の病院は空いてていいゾ##いつもはばっちゃま達で溢れかえってる病院でも雨が降れば誰も来てないゾ##元気なばっちゃま達に病気を移すといけないから体調悪い人は ,1
ウーバーイーツ含む配達業も路駐禁止の原則の上で配達を強いられ、切符切られれば配達員の責任。####そんなグレーゾーンで成り立ってる業種多すぎ、 ,1
摂食障害とかにはならなかったのは運が良かったというか昔から図太かったというか♡##おやつは週一などまれに食べられるもの、炭酸ジュースは誕生日の時だけ飲めるものと認識してたのになんであんなに太ったのかっつったら母の作る男ウケ抜群の飯以外に ,1
電車で目的の駅ついたけどソシャゲのキリが悪くて、席から立ってゲームの後処理してたら知らんオッサンに##「 」##言われてコレになった。##座席すぐ離れんかった俺が悪いんだけどね。,1
なんかアイドルの写真集の告知が紛らわしいって清く正しい一部のTwitterユーザー様がボヤいてるらしいけど、変な正義感もどきで当人を叩いてる ,1
現状でも慰謝料踏み倒し野郎で溢れてるのに、共同親権にするだけでそいつらが金出すと思ってる元ツイの人？ ,1
発達障がいは人より疲れやすいというけど、まぁTL見てればなんで疲れやすいか。 ,1
大学教授って ,0
お巡りさん、この暑い季節に、 。,1
憲法改正にしろ△▽新法意見交換にしろ、当事者の意見が無視されてる問題について。####本当、この国って ,1
終戦直前まで連戦連勝だったんだから ,1
仕方ない時代だから人間なんてそんなもん、事件は一定数起きると何百年も昔から学説や法則で証明されてると割り切るのが ,1
Lightning壊れたんだが##まじでAppleとかいう はなにを考えてるんだか##はよタイプCにしろよ！タイプBでもいいけどw,1
私のようなカワイイオタクは推しに手を振ってもらえただけでHappyなんよ、コスパ良いやろ、 ,1
人に優しく自分に厳しくを見事に実行している国JAP,1
剣の王女のルアちゃん、ある天の空花ちゃんの性格に結構似てるな。##大人しげで儚げな良い子……ではなく、大人しげで儚げだけど別に良くはない女の子。,1
ツイッターからすればモンハンは卑猥らしい##さすがツイッターのAI,1
アイク__##ダークサムス__##ダークサムス__##ファルコン○##クロム○##ベレト○##ラグガノン__##ラグデデデ__##マリオ○##ラグルカリオ__##ロイ○####ギリギリVIP落ちしなくて済んだけどラグマスター達マジで戦い方をわかってて強いな,1
ナムさん、不安がってるアミへの対応素早いのさすがだなぁ、、 ,1
依田4回くらいサボってて鬱##新たな境地が見えたでしょう,1
とても素晴らしい趣味を持ちの様で##けど ,1
鬱々となにかに酔いしれ狂気的な気分になりたいならjagwarのHappy Faceという曲を推します。####笑顔でいればなにもかも上手くいく####JOKERという映画で使われてるのですが、この映画も鬱々とします。##ジョーカーの役者になる時は必ず##『ジョーカーに呑まれるな』と言われてるらしいです。ﾆﾔﾘ,1
__ヒーローインタビュー######…巨メンズ2名はギタータイムへ,1
徹底抗戦論者はウクライナ南部東部のロシア語母語の人達をどう扱うのかな。 ####「ウクライナを巡っては、ＥＵ内で停戦と和平交渉を求めるイタリアおよびハンガリーとロシアへの強硬姿勢の他加盟国との間で溝がある,1
とりあえず、 、カクヨムコン8頑張りまぁ〜す,1
 ##今のも神宮関係ない飛距離のホームランです,1
政治家とか、高級官僚に。やたら庶民の仕事のをさせようって。共産趣味ですき,1
報連相がよく教育された親御さんですね！,1
ステータスはとても良い感じだったのに良馬場の鬼も遊びはおしまいも取れなかった。ホントこのゲーム良くできてんな,1
はぁ…僕のことはなんも考えてくれないんですね親さん。 まぁええよ…。人をイラつかせるの得意だよね笑笑,1
大勢使えない日だからって ,1
今日は気温はそれほどでもないが、湿度高い。けども完全ノーマスクは2人だけかな。あとは、手にマスク持ってる人が3人くらいかな。いずれも男性。##美意識高い女性はそりゃ ー,1
今日は9回のクローザーに ###ジャイアンツ,1
ずいぶん立派で,1
闇深すぎるというかなんというかw##時間いっぱいあって羨ましいな。 ,1
基本的に世の中って腐ってて人間って醜いから## 、適切に相手を貶めて利益を得られる環境を作った方が得だっていうのはその通りだと思う,1
フランスのビッグクラブのPSG来日ということで ,1
塩を大量に摂取すると危険ってことも知らずに生きてきたの##すごく大切に育てられたんだろうなぁ,1
良いな〜良いな〜人間って良いな〜####普段の動きして 腰砕く〜####歩いてるだけで膝裏砕く〜##僕は休〜む 早退します#### ,1
まぁ、これで維新の大好きな大好きな住民投票やることになりましたな。y-゜゜゜ﾄｺｰｿｰ2ｶｲﾋﾃｲｻﾚﾃﾓﾏﾀﾞｱｷﾗﾒﾅｲﾄｲｳｵｳｼﾞｮｳｷﾞﾜﾉﾜﾙｻｶﾞｱﾙﾆｾﾖ……｡,1
ツイステの魅力ってバトルなのか…？ストじゃなく？いままでバトルに魅力感じだことなかったからわからんかった。## ,1
三者三様の感性を持つ ｢ふざけんな｣って言ったからね…,1
つくづく「学校は監獄」と思う。氷NGって指定するのはどうなの？に対して、お菓子を食べてても「氷だよ」と言い張る子が出るかもしれない、ってのを見て確かに…とも思った。##社会で起こり得る不条理を学ぶ場としては素晴らしいんだけどな,1
日本語版ルールブックは英語版ルールブックの劣化版写本というのが共通認識なので ,1
アリーナやってたら俺のこと愚痴りながらやるデュオキッズに遭遇##したけど実力で黙らせました__## #エペ###エーペックス###エーペックスレジェンズ###apex###ApexLegends###SwitchApex,1
パーソナルカラーしたことないけど、肌も黒いしイエローやろってよく言われて、黄疸の数値結構高いって言われてるしイエローではあるね,1
日本は51番目の州で米の国の__でもある## ##が、近年の日本を見ると↓コレに沿って動いてる気がする____##止めよう__次回選挙で__日本最優先再建出来る政党を選ぶ!真剣にﾈ!,1
 ,0
まぁ、アンチのおかげで自分は小学生のような可愛い可愛い声だと分かりました笑笑ありがとな、アンチ,1
英語解読中##[...] な状況が実に気に入ったね  = I just love when [...]## = make horrific noise##唯一の [レコーディングの日] = one and only [recording day]#####hololiveEnglish #ホロライブ,1
あなたの賢さには誰も敵いませんよ#### ##あなたこそ、おバカなそのおつむに敵う人はいないと思います！,1
サイコパス先生ですね##相手の気持ちを考えられないのに教育者になれるんだから、 ,1
カーネーションという名前の由来の一説に、肉の色の花だから、という説があるの。carnは、カーニバルやカニバリズム、英単語のcarnageの元でもあるのよ。肉の色の花って…、 ,1
今日はソフトバレー大会かぁ## ,1
GGST、発売少し先とはいえスターターエディションも出すわけで##つまり「今からでも是非新規さん入ってくださいね」って姿勢はより明確になった筈なのだが##その割に公式ページの製品アンケフォームが最初の数ヶ月だけ開いててそれ以降未だに閉じたままなの、 ,1
#国民無視憲法軽視の岸田内閣は即刻退陣しろ### ###サヨナラ自民党##来月から外国人旅行者の入国緩和をするようですがロシア人と中国人は、入国禁止宣言したらどうでしょう。 嫌いな国民をわざわざ入れる必要もありません。 ついでに韓国人も･･･,1
AVより日本映画を ？,1
沖縄二軍隊を送って占領したあとに、##「今なら簡単にうちの国民になれますよー」って、##銃を突きつけながら言うわけですね。##分かります。## 。,1
絵は描けたし 、ﾋｮﾛﾜのgood絵も見られたので寝ます いい夜を〜_,1
とりあえずラッピングバスで税金無駄にしてるんだから、##プールの水の支払いを教員に払わせるように、##企画した人に損失補填してもらわないと。####とか言ってみる。####費用対効果で言ったら ,1
AVなんか観ずに、 ,1
今日は25日。お給料日でした。##「あゝ、 」##控除欄を睨みながら。,1
やっぱ個人通報制度に批准してない司法が中世の極東の黄色い猿の国はダメだな#### ,1
新型コロナに対して、２年半、ノーガード戦法__で対抗してるけど、全くの無傷で、かすり傷一つ負ってないんですが、何か__？## ,1
億単位の賠償金と比べたら『ちり紙』『はした金』『ケツを拭く紙にもなりゃしねぇ』んでしょうよwww## __,1
女子からは得点王が出たのに##男子は一点が遠い…#### #####浦和レッズ,1
山口県阿武町はふるさと納税で って言ってました,1
沖縄県返還50年で平和を主張してるわりに 十分平和そうに見えてしまうが,1
お世話になった前課ですが、今までのいろいろを全てごまかして本部に異動した前任者たちのせいで、現任者たちが ####「あれだけのことをしておいて、謝罪一つよこさないおまえらの顔など見たくないから廊下で私とすれ違うの禁止」####と言い渡したら、,1
KIZUNAなのに実質単番でしか申し込めないの草## ,1
滅茶苦茶腹の立つ案件。多分その加害者はそれなりの地位の人だろう。警察仕事しろよ__もしこれで父親であるツイ主さんがいなければ、 。日本の警察は優秀ですね,1
幸福度が話題だけど、 ####きっと凄く低くなるんじゃないカナ,1
いろいろと傾いてるんで、砂上の楼閣がどれだけの成果を出せるかは…ちと厳しかろうな　※ ,1
最近忙しくて分かった事があるんだけど、人間は普通に忙しいとTwitterはもちろん、そもそもスマホ触る時間無くて## ##職業覇道組！羨ましいゾ__,1
ちゃんと とこうなるのかぁ,0
私ってば相変らず ,0
#ヘチ###ヘチ王座への道 ##韓国時代劇って実在した歴史上の人物の生没年でも勝手に変えてしまうというスゴいドラマなんです__####さて##ここに密豊君という実在人物がいます。##流刑になり毒薬を賜るとかドラマで言ってますが‥景宗まだ王様ですぞ__####密豊君##死ぬの5年程先だぞ## ,1
若いうちにTwitterで限界中年男性を見たおかげで、将来こうならないように自分磨き頑張ろって気持ちになるよね。####普段迷惑な限界中年おじさんもそういった点では社会貢献してるね,1
医者がそんなんなら、コピー機でいいじゃん。AIでいいじゃん。####本当にそうなら __,1
ハイブって今全社員が なの？,0
なるほど、性の商品化禁止の流れってわけね。####ビデオ規制の次は風俗店、その後はヌードやら水着のグラビア、そんでもってアイドルも性的なものを想起させるからNGって方向にどんどん広がりそうで、 ##ついでに婚前の性交渉も全面禁止にしちまえよ,1
こんな頭悪くても政治家になれていい生活出来るんだもんな##チョロい職業だよ,1
とりあえず、DT、SJではない方々は犯罪者として漏れなく投獄しましょうか##そうすれば解決するんでしょ##勿論立件の堤氏、あなたも対象ですよ？####と言いたくなるような素晴らしい記事ですね・・・,1
私「xboxゲームパスはタイトル多すぎて消化するの無理」##人間「ぜんぜん余裕だけど？」##私「時間に余裕がある生活で わぁ」,1
スタナイユニ販売のメンバーで1軍組めたらさぞ んでしょうな,1
男尊女卑が ,1
 ね,0
今回の佐川の件、いくらイベント専用サービスで撤退せずいるからって「残ってくれてるんだから文句言うんじゃねえ」は違うだろう。それならどんな事故があっても一切苦情を言うな不信を持つな、佐川神を冒涜してるぞと？まあそもそもああいうのは「 」ですからね、特定層が大好きなあれ,1
えーーー##人生には大切な袋が3つございます####ひとつは 袋ねずみ##ひとつは 袋小路##そしてもうひとつは 袋叩き####でございます####そういうことでおふたりの スピーチとさせていただきます__ｹｯ__,1
休憩中にも仕事持ち出してやらないと残業になるからご飯食べる片手間にやってる。##社畜の鑑,1
あ、でも本職と売り専の相乗効果でコンスタントに月給35万以上稼げてるし、年に数回貸切指名頂いて給料貰いながら旅行出来たりクソ豪華なホテル泊まれたりするので元カノには色んな意味で ,1
兵器が球技に隠喩されるとは## になりましたね,1
UEFIのストレージでSSDは認識されてたのだわ、ただブートのとこで選べなかったのよね##どのドライブ名にOS入れたのかとか基本覚えてないのだけど、これがPCデポの自作キットで自分なら絶対チョイスしないだろうサムスンのSSDだから表示名でわかったのよね##サムスンに感謝だわ,1
隣で戦争やってるのに、日本の国会では国民の代表たる議員たちが嬉々としてアダルトビデオの話をしております。##平和だなあ……,1
これ平和ボケの典型だろ。逆にどうしてここまで今の政府を …羨ましくもある,1
文科省の元事務次官があんなんだから、反知性主義ったってそりゃもう がなおさらあるわけですよね,1
本人のツイート見ると、これだけ周囲に迷惑かけまくっておいて全く反省や謝罪の意思がなく、寧ろ被害者かのような文面を見ると並大抵の ではなさそうね,1
あー、 って理不尽心折り系企業研修のもっとも「洗練された」外部委託なんだな…。勝手にマナーを増やした結果として理不尽になってるのではなく、理不尽であることそのものにアレな企業の需要があるという…。,1
時代錯誤が甚だしくて、大変よろしいですね##70年代に したのかと思ったわ。,1
林大臣の支援表明への返答かな。ありがとうございます 。###北朝鮮###北朝鮮ミサイル,1
向こうがミサイル2発打ったならこっちも遺憾砲2発打たなきゃな ,1
今のAPEXランクをやって感じた事は「やるかやられるか」ではなく「掘るかやられるか」やな#####芋,1
うわあつまらん奴が言いがちな構ってツイートリアルでお目に書かれるなんて！,1
まぁ辞めるって言った時は8:2だったけど、聖淵追加で10:0 今日の復活無効デバフで100:0ぐらい決まったねﾊﾟｱ##うちの復活パーティーのもろ弱いところ出すとは運営さん って思った,1
2020年6月24日から経済産業省HPに掲載されている のシナリオです。見事に当たっています。##今から2年と1カ月も前。あの時期、既に世界恐慌は予定されていました。##シナリオは「3通り」あるのではなくて、「3段階」ある、ってことです__,1
インタビューで本人が答えたってことは事実でしょ！？####1〜4が前から明るみになってるのに、何もお咎めなかったり、今まで注意される等もなかったのか...！？####これで 日本すごーい,1
当事者の叫びは”不正解”って暗に腐してくんのクソでしょ。扱う言葉すら なこれが”正解”の書評ですか,1
本当にさぁ…学費無料化とか福祉の充実とか言うと財源がー！っていう人が湧いて出るのに、軍事費とかになるとなーんにも言われないの ,1
これがDR:Aの  #PS4share,0
「そんなに人間が好きになったのか、 」####「そんなに人間が好きになったのか、 」####「そんなに人間が好きになったのか、 」####「そんなに人間が好きになったのか、 」####「そんなに人間が好きになったのか、 」,1
ロザ｢ロードには極稀にとは言え攻め譲るのに何で私には頑なに譲らないのよ｣##サフ｢俺はロザリィをグズグズにしてやりたいのであって、されたいのではないから｣##ロザ｢そういう事を真っ直ぐな目で言ってくる貴方って本当に最高｣##サフ｢ ♡｣,1
____チーム読んだ！もう、なんていうかもう、__先輩の新たな一面を見た##丁寧な言葉遣いの時とか、ちょっと柔らかい語を選ぶ時はコッテコテの嫌味！ここはマジで解釈一致公式ありがとう___ってなった笑##意外だったのは後輩たちの認識！__先輩そんな風に思ってたの！？って __,1
亜利沙さんからむちゃくちゃきっしょい返信きた__## 購入した価値あるなwww,1
ロススト初イベントで 難易度高くねぇかあ？##ゴミみたいな手札でブリタニアを相手にしてたルルーシュの気分が味わえていいね,1
いやー、4番の を見せつけられた試合でしたね,1
○○で好き##の構文が溢れすぎて、単純に好きな物を好きと 世界。####腕時計素敵と 世界みたいだ。,1
下手な鉄砲輩ほど能天気と言うかある意味では 性格してるよ,1
「勉強は出来てもなんも出来ないで高い給料とは 」という鉄板ネタがあり、高学歴はお荷物という職場は根強く存在する。##でもそういう所はホントに成果を出さない人の集まりで、学歴が飾りになってるのでまあ…差別が生まれるのも仕方なしというか…。,1
自分はどんだけ 人間なんでしょうかね,1
 写真なこと,0
まあ脳筋バッターしか取らない最近のドラフト戦略##脳筋バッターを放置するファームの育成力が悪いんやけどね####欲しがりませんフォアボール##まんぶり全力フルスイング！####あぁ こと,1
クラスのカスに「社畜みたいw」って陰口叩かられた####俺って働き者って……ｺﾄｯ?!## …!,1
モンスターに攻撃宣言を行うミッションを考えたスタッフと、ソロモードのデッキ構築を担当したスタッフは センスを持っていると思う,1
はい、ガチャ敗北者の末路です。##10連が被り祭りで ほんと #パズドラ,1
ほぉー##今日も 働いてきた,1
Safariやedgeで ワードはGoogleだと思う,1
電車は立ちっぱだと になるなぁ！,1
ゆっくり茶番劇の一連の騒動を ,1
Xperiaは自然な色味でいいですね！！##SONYのAI凄い！## ,1
①米の傀儡である宇の度重なる露への挑発がついにレッドラインを超える。EUは終始見て見ぬふり####②自力で防衛・親露派住民の救済のため、露は軍事的行動に動く####③西側はNATOとの関係もあり露に経済制裁・エネルギー購入を制限####④結果EU生活費高騰・ 乙####プー「全部私のせいだね 笑」,1
これから、「原作厨は〜」とかいう人全員柚葉って ？##普通にロスワオリキャラ多過ぎのリプにもこのような方々がいらっしゃったので。##まぁ、Twitter上のこのツイート以外で言う気はないんですけどね。,1
周平を守備位置ショートのまま三番に置くよりは ##アリエルの扱いが軽いのなんて周平上がってきたときからだし,1
今日ウマ娘 な,0
うしろで シリアス,1
「巌の如く不動であったその胆力、揚州の孫策らが幾度侵そうとしても鎧袖一触にされたその武威、戦わずして時宜を得る者はそれ上の上にして荊州に孤高に屹立なさっておられる。ご家臣がたも、忠義一筋の切れ者、良吏 。」第壱部より,1
数年後にBトレ化 ...,1
自国民を見捨てたまんまなんだけどね。他国には気前のいい騎士田様はおいくら出すのかな。####中国に対抗、6兆円インフラ支援　日米豪印首脳、今後5年で,1
 ……芸能界ってそういうだらし無さが許される風潮は良いよね,1
中国に対抗 ###Yahooニュース,1
本当は__さんにとか言わせたいけど私の足りない脳みそではとても導き出せない…だってあんな世界の命運をかけた状況で○○○○○○○○○○○○○○○○○○○とか普通出んやろが… ,1
#にゃんこ大戦争 ##消滅都市の復刻コラボを今年最初のコラボにするとか ....,1
男だからDVや妊娠の危険性がなくて ##アホな男女論、関係ないところまで侵食してくるの本当に鬱陶しい…。,1
自分の寂しさとか辛さとかそういうの優先できる人ってっていいよなーって思うけど、 ,1
結構モンドのNPC性格悪くない？ ！,1
 ,0
佐川には日頃お世話になってるからさっさと潰れて欲しいけどじゃあそうなった時配送業者どうするかってなったら困るんだよな    ,1
だから、「ひどい」とか思う前に、そもそも自分ができないことを他人に押し付けようとするなよ、という話なんですよ##俺はよく「理想が高いね！」とか「完璧主義だね！」とか言われるけど、 ,1
巨人は嫌いなのでジャイアンツタオル掲げてるミコは ,1
ゼミの先生とお話した_____## とても面白かったです__##まず医療機関だけで8日×8時間は現実的に考えて無理って言われたよ、、、、他の大学では5領域まわって実習の時間を埋めるらしい__________,1
 …,0
 ,0
未成年の飲酒がニュースになる時代か… ,1
大抵の家業って初代が良くても二代目がまともじゃないとたちまち立ち行かないんですが ,1
ジャの従者根性は熱砂の従者業に就く者は皆そうなのか、ジャ家の教育の賜物なのか、はたまた…前にも呟いたんだけどジャ父の2回勝って３回負けろは程々に手を抜けって話で、アリナリを見ても幼少期から妹相手のゲームも本気で負かすし、 と,1
twitterをしながら原稿か。器用なものだな,1
戦争ｶﾞーの一方では銃で殺し合いするようなアプリがストア1位にずっとあり多くのひとが楽しみ##仮にもプロでスポンサー契約してるのがゲームとはいえ銃で殺し合いして人権や障害児を意味するガイジなんて平気で発言したり##日本って ,1
つくならもっと ,0
えー担って ##あなたたちの担当の顔の方がぶす多いじゃーんwwww,1
"ソロが終わった後は""Since You Been Gone""って決まっているんだ。俺が大嫌いな曲でね。グラハムの栄光の時代の曲だから弾いてやっているだけなんだよ。「 ！",1
セクハラとか精スプとかして叩かれまくっても ,1
"他の班の自己紹介してる奴の声が聞こえてきたけど自分の人生設計長々と話しててしっかり""自己紹介""できてて ",1
青年・京都のボイス集全体的に穏やかやねんけど東京に対して殺意高い事に  なんなの？,1
日本の首相って大変ですね,1
そうなんですよ！！もー、 って、思いましたよね！！,1
GDPの改ざんやめたら、 ,1
 ###yoshidarui###酒場放浪記,1
イアソンさえ居なければ ,1
ソロのばんがともにって曲を聴いてソロでAPEXをしております…悲しくないし…聴きながらしてると調子いいし…センチネルで憂さ晴らし…します… …ｳｯｳｯ…,1
精鋭に頼んで追跡してもらっても行方がさっぱり分からないなんて ,1
学生じゃないんだから、相手にその気があるかどうか、８割強の確信を持ってからアプローチ始めてほしいし、そこの人間関係とか恋愛事の距離感の測り方バグってるとことかThe陰キャって感じで ,1
 ##姉として本当に恥ずかしい限りですが、家でも何回言ってもやめてくれる気配がありません##どうしたらいいんですかね,1
ウィスのさらさらヘアーはいつも攻めのキースがとかして、服もキースが大体決めてるんですが、お前どの口でよその皇帝が美人を着飾って侍らせるのを「お人形遊び… 」って言うんやお前もやないかい！って思いますね,1
見出しの文字だけで中身も意図も考えずにペラペラ講釈垂れてる人みると ,1
あ、もうメインストーリーでは完全に空気な５悪魔をリストラすれば かもね,1
